university_id,school,subs
532,Victoria University of Barbados,1
455,Jagannath Gupta Institute of Medical Sciences and Hospital,1
2246,Baylor University,1
2150,Widener University,1
2636,Mississippi State University,1
358,"Government Medical College, Nizamabad",1
411,"Lala Lajpat Rai Memorial Medical College, Meerut",1
101,"Government Medical College, Kozhikode",1
2792,University of Kentucky,1
2722,Saint Louis University,1
343,"Thanjavur Medical College, Thanjavur",1
634,"South University, Tampa",1
2654,University of Notre Dame,1
400,"All India Institute of Medical Sciences, Raebareli",1
159,"Government Medical College, Miraj",1
785,Bryant University,1
2669,Norwich University,1
415,"Muzaffarnagar Medical College, Muzaffarnagar",1
754,University of Capecoast School of Medical Sciences,1
164,"K. J. Somaiya Medical College & Research Centre, Mumbai",1
158,"Government Medical College, Latur",1
2488,Adelphi University,1
339,"Mohan Kumaramangalam Medical College, Salem, Tamil Nadu",1
867,University of Iowa College of Pharmacy,1
2348,University of Texas at El Paso,1
616,"Ivane Javakhishvili Tbilisi State University, Faculty of Medicine",1
258,"Veer Surendra Sai Institute of Medical Sciences and Research, Burla, Sambalpur",1
781,"Thomas Jefferson University, Center City Campus",1
2540,California State University Sacramento,1
615,University of Colorado,1
2990,Hunter College,1
766,Northeastern State University,1
311,"Jhalawar Medical College, Jhalawar",1
600,Loma Linda University,1
171,"Rajiv Gandhi Medical College, Kalwa, Thane",1
352,Dr. Patnam Mahender Reddy Institute of Medical Sciences,1
812,University of Lynchburg,1
150,"Dr. Shankarrao Chavan Government Medical College, Nanded",1
378,Shadan Institute of Medical Sciences,1
291,"All India Institute of Medical Sciences, Bathinda",1
209,Atal Bihari Vajpayee Institute of Medical Sciences,1
2903,University of Alaska Anchorage,1
1533,Elms College,1
1813,University of North Carolina Greensboro,1
736,Al-Balqaʼ Applied University,1
650,Rosalind Franklin Univ of Medicine (formerly Finch),1
553,"Edge Hill University Faculty of Health, Social Care & Medicine",1
1531,The University of Louisville,1
2436,University of Wisconsin La Crosse,1
137,"Netaji Subhash Chandra Bose Medical College, Jabalpur",1
1851,Bergen Community College,1
2776,University of Connecticut,1
285,Pondicherry Institute of Medical Sciences,1
2924,University of Maryland Baltimore County,1
843,University of California-Irvine School of Pharmacy and Pharmaceutical Sciences,1
560,Lancaster Medical School,1
169,"Mahatma Gandhi Institute of Medical Sciences, Wardha",1
2556,Duquesne University,1
914,Albany College of Pharmacy,1
727,Daemen College,1
344,"Thoothukudi Medical College, Thoothukudi",1
2312,University of the Incarnate Word,1
2281,Saint Edward’s University,1
2777,University of California Riverside,1
518,Instituto Superior de Ciencias Medicas de Villa Clara,1
2788,University of Georgia,1
788,Medical University of South Carolina,1
217,Macquarie University School of Medicine,1
2517,California Baptist University,1
2871,California University of Pennsylvania,1
3043,Regis College (Massachusetts),1
407,"Jawaharlal Nehru Medical College, Aligarh Muslim University, Aligarh",1
419,"Santosh Medical college, Ghaziabad",1
480,Université Quisqueya Faculté des Sciences de la Santé,1
858,Nova Southeastern University College of Pharmacy,1
429,"Shri Guru Ram Rai Institute of Medical & Health Sciences, Patel Nagar, Dehradun",1
541,University of Health Sciences Antigua School of Medicine,1
1513,LSU Health Sciences Center – New Orleans,1
